92,A10,A9,A4,A5,A5,A3,A4,A4,A7,A7,A7,A7,A7,A2,A8,A1,,,,,
93,A1,,,,,,,,,,,,,,,,,,,,
94,A1,,,,,,,,,,,,,,,,,,,,
95,A1,,,,,,,,,,,,,,,,,,,,
96,A1,,,,,,,,,,,,,,,,,,,,
97,A12,,,,,,,,,,,,,,,,,,,,
98,A1,,,,,,,,,,,,,,,,,,,,
100,A3,A4,A5,A6,A7,A2,A8,A9,A10,A1,,,,,,,,,,,
101,A3,A4,A5,A6,A7,A2,A8,A9,A10,A1,,,,,,,,,,,
102,A1,A1,A1,A1,A1,A1,A1,,,,,,,,,,,,,,
